,BHK,Baths,Total_Area_SqFt,BuiltUp_Area_Sqm,Price_per_SqFt,Type_of_Land,Location,Price
2028,1,1,680,63,11029,Apartment,Jagajeevan Ram Nagar,7500000
2029,0,0,1750,163,4858,Residential land / Plot,Chokkanahalli,8500000
2030,2,2,1200,111,3333,Apartment,Neeladri Nagar,4000000
2031,3,3,1289,120,4111,Apartment,AGB Layout,5300000
2032,3,3,1280,119,6250,Apartment,Kengeri Satellite Town,8000000
2033,0,0,1200,111,3400,Residential land / Plot,Thirumagondanahalli,4079999
2034,2,2,1060,98,4528,Apartment,Brindavan Layout,4800000
2035,1,1,4200,390,5928,Bedroom House,JP Nagar,24900000
2036,1,1,2200,204,9181,Bedroom House,Vivek Nagar,20200000
2037,4,4,1500,139,30000,Bedroom House,AECS Layout,45000000
2038,2,2,700,65,11428,Apartment,6th Block Rajaji Nagar,8000000
2039,1,1,1200,111,7166,Bedroom House,Vidyamanya Nagar,8600000
2040,2,2,974,90,5442,Apartment,Electronic City,5300000
2041,2,2,1080,100,6018,Bedroom House,Ullal Uppanagar vishweshwaraiah layout 6th block,6500000
2042,2,2,950,88,7894,Apartment,Hebbal,7500000
2043,2,2,1305,121,9578,Apartment,Nandi Durga Road,12500000
2044,1,1,860,80,11046,Bedroom House,Banashankari Stage 3,9500000
2045,8,8,1200,111,6000,Apartment,Hebbagodi,7200000
2046,0,0,1200,111,8333,Residential land / Plot,Chikkanayakanahalli,10000000
2047,2,2,1200,111,6250,Apartment,New Gurappana Palya,7500000
2048,0,0,3308,307,2300,Residential land / Plot,Devanahalli,7608000
2049,0,0,1200,111,6666,Residential land / Plot,Electronic City,8000000
2050,2,2,650,60,11384,Apartment,Thanisandra,7400000
2051,0,0,2400,223,3333,Residential land / Plot,Bommasandra,8000000
2052,2,2,1125,105,3200,Apartment,Kammasandra,3600000
2053,2,2,1190,111,5294,Apartment,MLA Layout,6300000
2055,3,3,1120,104,6696,Apartment,Sarakki Nagar,7500000
2056,5,5,800,74,12375,Bedroom House,TC Palya main road,11000000
