,BHK,Baths,Total_Area_SqFt,BuiltUp_Area_Sqm,Price_per_SqFt,Type_of_Land,Location,Price
2336,1,1,1400,130,23214,Bedroom House,Kacharakanahalli,32500000
2337,3,3,1241,115,7333,Apartment,Sri Balaji Krupa Layout,9100000
2338,2,2,1000,93,6000,Apartment,Sarjapur Road,6000000
2339,1,1,3000,279,8633,Apartment,Attibele,25900000
2340,1,1,2187,203,5029,Apartment,Malur,11000000
2341,1,1,4400,409,6250,Apartment,Anjanapura Township,27500000
2342,0,0,1200,111,5167,Residential land / Plot,Kanakapura Road Vakil Garden City,6200000
2343,4,4,3630,337,7906,Apartment,Old Madras Road Halasuru,28700000
2344,5,5,3000,279,7500,Bedroom House,Aditya Nagar-Vidyaranyapura,22500000
2345,5,5,600,56,20833,Bedroom House,RT Nagar,12500000
2346,1,1,722,67,7618,Apartment,Budigere,5200000
2347,1,1,5400,502,4629,Bedroom House,Jeevanbheemanagar,25000000
2348,1,1,1200,111,11250,Bedroom House,Agrahara,13500000
2349,1,1,1200,111,5666,Bedroom House,Yelachanayakanapura,6800000
2350,2,2,1100,102,5454,Apartment,Kothanur,6000000
2351,1,1,1200,111,5000,Bedroom House,Kadugodi,6000000
2402,1,1,3000,279,3333,Bedroom House,Varthur,10000000
2403,1,1,1500,139,22000,Bedroom House,Thanisandra,33000000
2404,1,1,1200,111,9166,Bedroom House,Kaval Bairasandra,11000000
2405,1,1,600,56,9000,Bedroom House,Basavanapura,5400000
2406,2,2,11000,1022,545,Apartment,Kothanur,6000000
2407,1,1,4200,390,4761,Bedroom House,Yelahanka,20000000
2408,1,1,2400,223,3125,Bedroom House,Andrahalli,7500000
2409,1,1,1350,125,6074,Bedroom House,Anjanapura Township,8200000
2410,1,1,1200,111,5216,Bedroom House,Kengeri Satellite Town,6260000
2411,1,1,2162,201,5087,Apartment,Dommasandra,11000000
2412,1,1,765,71,8496,Bedroom House,K Channasandra,6500000
2413,2,2,1100,102,4091,Apartment,Uttarahalli,4500000
2414,3,3,1484,138,6199,Apartment,Green Glen Layout,9200000
2415,2,2,1167,108,2828,Apartment,Sarjapura Attibele Road,3300000
2416,3,3,1200,111,25000,Bedroom House,Thyagraj Nagar,30000000
2417,0,0,830,77,6024,Residential land / Plot,Devanahalli,5000000
2418,1,1,1200,111,4166,Bedroom House,Harapanahalli,5000000
2419,1,1,1800,167,5611,Bedroom House,Jnana Ganga Nagar,10100000
2420,1,1,840,78,14880,Bedroom House,Kodipur,12500000
2421,1,1,2000,186,5500,Apartment,Channigarayapura,11000000
2422,1,1,2700,251,3703,Bedroom House,Hongasandra,10000000
2423,1,1,900,84,11111,Bedroom House,Kodigehalli,10000000
2424,3,3,2505,233,11632,Bedroom House,Budigere,34200000
2425,3,3,1428,133,5602,Apartment,Whitefield,8000000
2426,3,3,1330,124,4500,Apartment,Doddagubbi,5985000
2427,3,3,1240,115,11129,Apartment,Sarjapur Road,13799999
2428,3,3,1200,111,7916,Apartment,Electronic City Phase I,9500000
2429,3,3,1760,164,10227,Bedroom House,Banashankari 6th Stage,18000000
2430,3,3,1202,112,3743,Apartment,Attibele,4500000
2431,1,1,1950,181,9230,Bedroom House,Kothanur,18000000
2432,0,0,735,68,6394,Residential land / Plot,Rachamanahalli,4700000
2433,1,1,750,70,12666,Bedroom House,Nayandahalli,9500000
2434,3,3,2795,260,13416,Bedroom House,Kanakapura Road,30000000
2435,3,3,1380,128,4710,Apartment,Basapura,6500000
2436,1,1,1897,176,3953,Bedroom House,Hoskote,7500000
2437,0,0,2400,223,2500,Residential land / Plot,Magadi road,6000000
2438,1,1,1140,106,6140,Bedroom House,Ullal Uppanagar,7000000
2439,1,1,980,91,8163,Bedroom House,Ramamurthy Nagar,8000000
2440,0,0,800,74,17000,Residential land / Plot,Thyagaraja Nagar,13600000
2441,2,2,1098,102,4007,Apartment,Electronics City Phase 1,4400000
2442,0,0,2150,200,5750,Residential land / Plot,Horamavu,12400000
2443,2,2,840,78,4167,Apartment,Chandapura,3500000
2444,3,3,1760,164,4517,Bedroom House,Huskur,7950000
2445,0,0,1500,139,2333,Residential land / Plot,Devanahalli,3500000
2446,0,0,1200,111,5000,Residential land / Plot,Nagasandra,6000000
2447,3,3,2050,190,9512,Apartment,Yeshwanthpur,19500000
2448,4,4,2800,260,17857,Bedroom House,Yelahanka,50000000
2449,2,2,851,79,11515,Apartment,Sarjapur Road,9800000
2450,0,0,2150,200,10465,Residential land / Plot,BTM Layout,22500000
2451,0,0,5445,506,3250,Residential land / Plot,KR Puram,17700000
2452,0,0,1650,153,7878,Residential land / Plot,Gattahalli,13000000
2453,2,2,1155,107,5194,Apartment,Malleshpalya,6000000
2454,2,2,1318,122,5690,Apartment,Sahakara Nagar,7500000
2455,3,3,2400,223,5417,Bedroom House,Electronic City,13000000
2456,2,2,1070,99,5046,Apartment,Electronics City Phase 1,5400000
2457,3,3,1685,157,4452,Apartment,Gubbalala,7500000
2458,2,2,1031,96,6498,Apartment,Horamavu,6700000
2460,1,1,1348,125,4451,Bedroom House,Andrahalli,6000000
2461,2,2,1130,105,4238,Apartment,Gottigere,4790000
2462,0,0,2400,223,3958,Residential land / Plot,Yalahanka Hobali,9500000
2463,2,2,1710,159,9356,Bedroom House,Hosakerehalli,16000000
2464,2,2,1110,103,6306,Apartment,Talaghattapura,7000000
2465,0,0,1500,139,2666,Residential land / Plot,Bannerghatta Road,4000000
2466,2,2,940,87,2765,Apartment,Doddathoguru,2600000
2467,0,0,1500,139,8000,Residential land / Plot,Byrathi Village,12000000
2468,3,3,1375,128,6545,Apartment,HSR Layout,9000000
2469,0,0,1200,111,3500,Residential land / Plot,Rajankunte,4200000
2470,0,0,10143,942,1774,Residential land / Plot,Hulimangala,18000000
2471,0,0,1200,111,2083,Residential land / Plot,Nelamangala,2500000
2472,0,0,2700,251,2962,Residential land / Plot,Boyalahalli,8000000
2473,2,2,1148,107,6533,Apartment,Whitefield,7500000
2474,2,2,825,77,5454,Apartment,Electronics City Phase 1,4500000
2475,0,0,87120,8094,44,Residential land / Plot,Chikka Bommasandra,3800000
2476,3,3,2300,214,15000,Bedroom House,Srinagar,34500000
2477,0,0,900,84,21111,Residential property,Mahaganapathi Nagar,19000000
2478,2,2,1169,109,9409,Apartment,Horamavu,11000000
2479,0,0,87120,8094,37,Residential land / Plot,KR Puram,3239000
2480,3,3,1600,149,4875,Apartment,Singasandra,7800000
2481,5,5,1280,119,17578,Bedroom House,Hosa Road,22500000
2482,7,7,1200,111,11250,Bedroom House,Sunkadakatte,13500000
2483,0,0,48000,4459,500,Residential land / Plot,Rajankunte,24000000
2484,2,2,825,77,3152,Apartment,Electronic City,2500000
2485,3,3,2050,190,7317,Apartment,Bhavani Nagar,15000000
2486,0,0,1200,111,4000,Residential land / Plot,Marasandra,4800000
2487,1,1,3300,307,7727,Apartment,Srirampura,25500000
2488,3,3,850,79,32941,Apartment,Nagarbhavi,28000000
2489,3,3,2000,186,8000,Apartment,Frazer Town,16000000
2490,2,0,1215,113,27160,Residential property,Indira Nagar Stage 2,33000000
2491,0,0,1000,93,6500,Residential land / Plot,Sunkadakatte,6500000
2492,5,5,1200,111,14166,Bedroom House,Kempegowda Nagar,17000000
2493,0,0,1200,111,7500,Residential land / Plot,Hongasandra,9000000
2494,2,2,1244,116,6028,Apartment,Whitefield,7500000
2495,3,3,800,74,5000,Apartment,Sarjapur,4000000
2496,2,2,1070,99,5794,Apartment,"Amruthahalli Main Rd, Swami Vivekananda Layout, Amrutahalli",6200000
2497,3,3,1530,142,6797,Apartment,Banashankari Stage 3,10400000
2498,1,1,800,74,6250,Apartment,Jalahalli East,5000000
2499,3,3,1537,143,5204,Apartment,Nagondanahalli,8000000
2500,1,1,598,56,7023,Apartment,Hosa Road,4200000
2501,2,2,1050,98,4761,Apartment,Nagondanahalli,5000000
2502,5,5,1200,111,12916,Bedroom House,Chikkabanavar,15500000
2503,0,0,1150,107,6956,Residential land / Plot,Kaval Byrasandra,8000000
2504,2,2,21600,2007,1852,Bedroom House,Srirampuram,40000000
2505,0,0,1090,101,3200,Residential land / Plot,Heelalige,3488000
2506,1,1,700,65,7142,Apartment,3rd Block Hrbr Layout,5000000
2507,0,0,1200,111,6250,Residential land / Plot,Near International Airport,7500000
2508,4,4,1500,139,8333,Apartment,"Ashwini layout, Ejipura",12500000
2509,8,8,1650,153,8484,Apartment,Sadara Mangala Industrial Area,14000000
2510,3,3,1350,125,6666,Apartment,kavalbyrasandra R.T.Nagar post,9000000
2511,0,0,750,70,2533,Residential land / Plot,Kanakapura Road,1900000
2512,0,0,1725,160,4173,Residential land / Plot,Doddabele,7200000
2513,2,2,982,91,8859,Apartment,Malleshwaram,8700000
2515,0,0,1200,111,2200,Residential land / Plot,Electronic City,2640000
2516,0,0,1800,167,7000,Residential land / Plot,Lingarajapuram,12600000
2517,3,3,1855,172,5121,Apartment,9th Phase JP Nagar,9500000
2518,3,3,1440,134,5347,Apartment,Thanisandra,7700000
2519,2,2,800,74,7500,Apartment,Murugeshpalaya,6000000
2520,5,5,1200,111,15416,Bedroom House,Bannerghatta Road,18500000
2521,3,3,1625,151,5476,Apartment,Devasthanagalu,8900000
2522,3,3,1770,164,10451,Apartment,Amblipura,18500000
2523,9,9,3000,279,4000,Bedroom House,Sunkadakatte,12000000
2524,4,4,1777,165,30951,Bedroom House,Chandra Layout,55000000
2525,0,0,1200,111,3750,Residential land / Plot,Boyalahalli,4500000
2526,2,2,1000,93,5500,Apartment,Roopena Agrahara,5500000
2527,0,0,1883,175,3800,Residential land / Plot,Kaggalipura,7155000
2528,0,0,600,56,12500,Residential land / Plot,ambedkar institute of technology. kengunte circle,7500000
2529,0,0,675,63,12962,Residential land / Plot,Yeshwanthpur,8750000
2530,3,3,1850,172,13513,Apartment,Jakkur,25000000
2531,0,0,1742400,161874,1,Residential land / Plot,Chikka Tirupathi,2200000
2532,2,2,1147,107,7410,Apartment,Carmelaram,8500000
2533,0,0,1500,139,3200,Residential land / Plot,Huttanahalli,4800000
2534,2,2,530,49,9811,Apartment,Bagalur,5200000
2535,2,2,951,88,5152,Apartment,Devanahalli,4900000
2536,2,2,992,92,10963,Apartment,Tumkur Road,7800000
2537,2,2,1200,111,5833,Apartment,Tejaswini Nagar,7000000
2538,2,2,1260,117,5555,Apartment,Sahakara Nagar,7000000
2539,6,6,2300,214,10870,Bedroom House,Malleshpalya,25000000
2540,0,0,1800,167,7500,Residential land / Plot,Lingarajapuram,13500000
2541,3,3,1980,184,8333,Apartment,Bellandur,16500000
2542,3,3,1525,142,5574,Apartment,Begur,8500000
2543,3,3,1316,122,6079,Apartment,Chikkalasandra,8000000
2544,8,0,1200,111,5833,Residential land / Plot,Anjanapura Block 8,7000000
2545,4,4,2200,204,5000,Bedroom House,9th Phase JP Nagar,11000000
2546,0,0,1500,139,3333,Residential land / Plot,Pillagana Halli,5000000
2547,2,2,1150,107,3043,Apartment,Hosur Road,3500000
2548,0,0,2400,223,2667,Residential land / Plot,Haragadde,6400000
2549,0,0,1200,111,3208,Residential land / Plot,Hoskote,3850000
2550,2,2,900,84,7333,Apartment,Uttarahalli,6600000
2551,1,1,380,35,6513,Apartment,Bannerghatta Road,2475000
2552,2,2,550,51,6364,Apartment,Shivaji Nagar,3500000
2553,3,3,1850,172,3946,Bedroom House,Byrathi,7300000
2554,0,0,1600,149,4500,Residential land / Plot,Hennur Road,7200000
2555,0,0,1500,139,3500,Residential land / Plot,Jigani,5250000
2556,3,3,1350,125,4074,Apartment,Ananth Nagar,5500000
2557,1,1,2550,237,5254,Bedroom House,Kengeri Satellite Town,13400000
2558,1,1,850,79,4341,Bedroom House,Soppahalli,3690000
2559,1,1,2350,218,17021,Apartment,Bilekahalli,40000000
2560,3,3,1834,170,18266,Apartment,Koramangala,33500000
2561,3,3,849,79,7534,Apartment,Balagere,6397000
2562,3,3,1395,130,6810,Apartment,Electronic City,9500000
2563,2,2,882,82,4989,Apartment,Mysore Road,4400000
2564,3,3,998,93,6863,Apartment,Whitefield,6850000
2565,3,3,1500,139,12666,Bedroom House,Sarjapur,19000000
2566,3,3,810,75,12345,Apartment,Kanakapura Road,10000000
2567,2,2,800,74,6500,Apartment,Bommanahalli,5200000
2568,2,2,607,56,11532,Apartment,Kanakapura Road,7000000
2569,3,3,1392,129,17241,Apartment,Hebbal,24000000
2570,3,3,1297,121,6168,Apartment,Vidyaranyapura,8000000
2571,2,2,595,55,8739,Apartment,Hebbal,5200000
2572,2,2,1000,93,5800,Apartment,Marathahalli,5800000
2573,2,2,1050,98,5714,Apartment,Magadi Road,6000000
2574,4,4,3300,307,4696,Bedroom House,Uttarahalli Main Road,15500000
2575,2,2,996,93,9538,Apartment,Whitefield,9500000
2576,4,4,1200,111,12500,Bedroom House,Kengeri Satellite Town,15000000
2577,4,4,2204,205,6851,Bedroom House,Whitefield Road,15100000
2578,3,3,2080,193,13461,Apartment,Whitefield,28000000
2579,2,2,1200,111,5166,Apartment,Bellandur,6200000
2580,2,2,800,74,7000,Apartment,BTM Layout,5600000
2581,1,1,384,36,5208,Apartment,Begur,2000000
2582,1,1,800,74,4612,Bedroom House,Soppahalli,3690000
2583,1,1,1200,111,12500,Bedroom House,Ramasandra,15000000
2584,1,1,1200,111,3916,Bedroom House,Ramohalli,4700000
2585,2,2,760,71,4210,Apartment,Sarjapur Road,3200000
2586,2,2,1310,122,13740,Apartment,Indira Nagar,18000000
2587,2,2,761,71,5256,Apartment,Sarjapur,4000000
2588,3,3,1385,129,9386,Apartment,Akshayanagara West,13000000
2589,0,0,1400,130,5800,Residential land / Plot,Hennur Bande,8120000
2590,2,2,1045,97,4784,Apartment,Devanahalli Int. Airport,4999000
2591,3,3,1575,146,5650,Apartment,Panathur,8900000
2592,2,2,960,89,10208,Apartment,Old Madras Road,9800000
2593,3,3,1475,137,15254,Apartment,Indira Nagar,22500000
2594,2,2,1190,111,5714,Apartment,Kaikondrahalli,6800000
2595,2,0,1100,102,12272,Residential land / Plot,Kengeri Satellite Town Stage 2,13500000
2596,2,2,1049,97,5719,Apartment,Rajarajeshwari Nagar,6000000
2597,0,0,3600,334,1944,Residential land / Plot,Chikka Tirupathi,7000000
2598,2,2,1470,137,4458,Apartment,Nagappa Reddy Layout,6554000
2599,2,2,600,56,15000,Apartment,Kadugondanahalli,9000000
2600,2,2,1140,106,5264,Apartment,1st Phase JP Nagar,6000000
2601,0,0,2400,223,1500,Residential land / Plot,Jigani,3600000
2602,4,4,1500,139,5200,Bedroom House,"Mattenahalli Road, Thindlu, Sarjapura",8500000
2603,0,0,2400,223,2083,Residential land / Plot,Mysore Road,5000000
2604,2,2,750,70,5866,Apartment,Ramamurthy Nagar,4400000
2605,0,0,1000,93,1590,Residential land / Plot,Bannerghatta Road,1590000
2606,0,0,43560,4047,1033,Residential land / Plot,Chikkaballapur,45000000
2607,7,0,600,56,10000,Residential land / Plot,"Arkavathy layout,7th Block,Jakkur",6000000
2608,5,5,1320,123,18939,Bedroom House,Hoskote,25000000
2609,1,1,420,39,3333,Apartment,Sunkadakatte,1400000
2610,1,1,638,59,7210,Apartment,Electronic City,4600000
2611,3,3,1285,119,4747,Apartment,Marsur,6100000
2612,0,0,2260,210,9247,Residential land / Plot,Billekahalli,20900000
2613,0,0,1200,111,4166,Residential land / Plot,Huskur,5000000
2614,0,0,2500,232,1480,Residential land / Plot,Chunchanakuppe,3700000
2615,3,3,1757,163,5577,Apartment,Sahakara Nagar,9800000
2616,3,3,1430,133,5035,Apartment,Kanakapura Road,7200000
2617,2,2,1178,109,4923,Apartment,Sompura Gate,5800000
2618,4,4,600,56,11333,Bedroom House,KR Puram,6800000
2619,4,4,3170,295,8990,Apartment,Hulimavu,28500000
2620,0,0,1200,111,3000,Residential land / Plot,chandapura main road,3600000
2621,0,0,4000,372,9900,Residential land / Plot,haralur road,39600000
2622,0,0,1800,167,2500,Residential land / Plot,Suragajakkanahalli,4500000
2623,2,2,1200,111,5791,Apartment,Rachenahalli,6950000
2624,0,0,2400,223,3333,Residential land / Plot,Hoskote,8000000
2625,0,0,1256,117,2388,Residential land / Plot,Nelamangala,3000000
2626,0,0,1260,117,3333,Residential land / Plot,Sompura,4200000
2627,0,0,8200,762,2500,Residential land / Plot,Devanahalli,20500000
2628,10,10,1200,111,19583,Bedroom House,Hosa Road,23500000
2629,2,2,725,67,10068,Apartment,Thanisandra,7300000
2630,3,3,1880,175,12500,Apartment,Sampangirama Nagar,23500000
2631,3,3,1180,110,4068,Apartment,Marasandra dodbalapur road,4800000
2632,11,11,1600,149,10000,Bedroom House,Nagondanahalli,16000000
2633,9,9,1200,111,9166,Bedroom House,Nagondanahalli,11000000
2634,3,3,1323,123,5291,Apartment,Industrial Layout,7000000
2635,3,3,1694,157,5312,Apartment,Kengeri,9000000
2636,3,3,1600,149,5812,Apartment,8th Phase JP Nagar,9300000
2637,0,0,1200,111,1250,Residential land / Plot,BN Ramana Rao Road T Begur,1500000
2638,0,0,2368,220,548,Residential land / Plot,Avenue Road,1300000
2639,0,0,2400,223,10416,Residential land / Plot,Kanakapura Road,25000000
2640,1,1,375,35,17333,Apartment,chollurpalya magadi road,6500000
2641,2,2,1100,102,4363,Apartment,Hesaraghatta main road,4800000
2642,2,2,1000,93,6000,Apartment,Electronic City,6000000
2643,3,3,1200,111,25000,Apartment,MSR Nagar,30000000
2644,5,5,1200,111,21666,Bedroom House,Sir M V layout,26000000
2645,0,0,660,61,8333,Residential land / Plot,Lingarajapuram,5500000
2646,1,1,500,46,13800,Apartment,Sanjay nagar,6900000
2647,6,6,1200,111,10416,Bedroom House,Kadugodi,12500000
2648,3,3,500,46,10000,Bedroom House,Yeshwanthpur,5000000
2649,1,1,600,56,15333,Bedroom House,Chandra Layout,9200000
2650,2,2,1049,97,5052,Apartment,Immadihalli,5300000
2651,2,2,1292,120,5417,Apartment,Uttarahalli,7000000
2652,0,0,1200,111,1900,Residential land / Plot,Dodderi,2300000
2653,6,0,1200,111,7083,Residential land / Plot,"Banashankari Stage 6, 9th block",8500000
2654,5,5,1200,111,7916,Bedroom House,Hegde Nagar,9500000
2655,0,0,1455,135,6000,Residential land / Plot,Janatha Colony,8730000
2656,6,6,1200,111,15000,Bedroom House,KR Puram,18000000
2657,6,6,2500,232,3560,Bedroom House,Andrahalli,8900000
2658,0,0,2400,223,3500,Residential land / Plot,Aadhya City Layout,8200000
2659,0,0,800,74,5312,Residential land / Plot,Dominic Layout,4250000
2660,0,0,800,74,4000,Residential land / Plot,Chandapura,3200000
2661,2,2,1222,114,3682,Apartment,Kengeri,4500000
2662,8,8,500,46,21000,Bedroom House,Palace Guttahalli,10500000
2663,2,2,980,91,5612,Apartment,Jakkur,5500000
2664,2,2,1065,99,5633,Apartment,Pai Layout,6000000
2665,2,2,1150,107,3652,Apartment,Kengeri,4200000
2666,0,0,1600,149,750,Residential land / Plot,Jangamakote,1200000
2667,2,2,1134,105,3527,Apartment,Nagasandra,4000000
2668,0,0,1295,120,1003,Residential land / Plot,Sulibele,1300000
2669,2,2,1057,98,5487,Apartment,Horamavu Agara,5800000
2670,3,3,2600,242,9999,Bedroom House,Vaderahalli,26000000
2671,2,2,1043,97,6232,Apartment,Kengeri,6500000
2672,3,3,1250,116,6000,Apartment,Vidyaranyapura,7500000
2673,0,0,1200,111,8000,Residential land / Plot,Kengeri Satellite Town,9600000
2674,1,1,1200,111,2750,Bedroom House,Chandapura,3300000
2725,3,3,1454,135,6189,Apartment,Bellandur,9000000
2726,4,4,2000,186,7000,Apartment,Padmanabhanagar,14000000
2727,3,3,600,56,19166,Bedroom House,Talaghattapura,11500000
2728,0,0,1200,111,1600,Residential land / Plot,nettigere,1900000
2729,3,3,1474,137,7462,Apartment,1st Block HBR Layout,11000000
2730,3,3,1229,114,8950,Apartment,Rajapura,11000000
2731,0,0,3267,304,2295,Residential land / Plot,Bagalur,7500000
2732,0,0,1200,111,2166,Residential land / Plot,Kambipura,2600000
2733,0,0,800,74,1687,Residential land / Plot,Green City,1350000
2734,2,2,1324,123,6797,Apartment,8th Phase JP Nagar,9000000
2735,0,0,1500,139,6000,Residential land / Plot,Rayasandra,9000000
2736,2,2,1023,95,5376,Apartment,Kengeri,5500000
2737,1,1,593,55,6576,Apartment,Devanahalli,3900000
2738,0,0,3300,307,2393,Residential land / Plot,Bagalur,7900000
2739,2,2,1165,108,5836,Apartment,Whitefield,6800000
2740,3,3,1780,165,5505,Apartment,Devanahalli,9800000
2741,4,4,600,56,12000,Bedroom House,Tippenahalli,7200000
2742,0,0,6700,622,6492,Residential property,Whitefield,43500000
2743,0,0,3400,316,7647,Residential land / Plot,Hegde Nagar,26000000
2744,2,2,1342,125,7078,Apartment,Kadubeesanahalli,9500000
2745,2,2,945,88,7089,Apartment,KR Puram,6700000
2746,2,2,810,75,6790,Apartment,Marathahalli,5500000
2747,2,2,1405,131,7117,Apartment,Bommanahalli,10000000
2748,0,0,1200,111,3500,Residential land / Plot,Chikkabanavar,4200000
2749,5,5,1200,111,10000,Bedroom House,Nelamangala,12000000
