,location,price_per_sqft,total_sqft,builtup_area,bhk,price
65,2 BHK Apartment in Manikonda,"₹ 6,177/sq.ft.","1,214 sq.ft. (113 sq.m.) Carpet Area",(113 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 75 L₹ 6,177/sq.ft."
66,2 BHK Apartment in Madinaguda,"₹ 6,000/sq.ft.","1,110 sq.ft. (103 sq.m.) Built-up Area",(103 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 60 L₹ 6,000/sq.ft."
67,4 Bedroom House in Tellapur,"₹ 19,199/sq.ft.","2,448 sq.ft. (227 sq.m.) Plot Area",(227 sq.m.) Plot Area,4 BHK4 Baths,"₹ 4.7 Cr₹ 19,199/sq.ft."
68,Residential land / Plot in Rajiv Gandhi International Airport,"₹ 2,422/sq.ft.","1,733 sq.ft. (161 sq.m.) Plot Area",(161 sq.m.) Plot Area,,"₹ 42 L₹ 2,422/sq.ft."
69,2 BHK Apartment in Mokila,"₹ 4,771/sq.ft.","1,027 sq.ft. (95 sq.m.) Carpet Area",(95 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 49 L₹ 4,771/sq.ft."
70,2 BHK Apartment in RN Reddy Colony,"₹ 5,485/sq.ft.","1,185 sq.ft. (110 sq.m.) Carpet Area",(110 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 65 L₹ 5,485/sq.ft."
71,2 Bedroom House in Medchal,"₹ 4,553/sq.ft.","3,294 sq.ft. (306 sq.m.) Plot Area",(306 sq.m.) Plot Area,2 BHK2 Baths,"₹ 1.5 Cr₹ 4,553/sq.ft."
72,2 BHK Apartment in Kondapur,"₹ 6,888/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 62 L₹ 6,888/sq.ft."
73,"Residential land / Plot in Peerzadiguda,Uppal","₹ 4,673/sq.ft.","1,260 sq.ft. (117 sq.m.) Plot Area",(117 sq.m.) Plot Area,,"₹ 58.88 L₹ 4,673/sq.ft."
74,2 BHK Apartment in Gandhi Nagar,"₹ 5,416/sq.ft.","1,200 sq.ft. (111 sq.m.) Carpet Area",(111 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 65 L₹ 5,416/sq.ft."
75,2 Bedroom House in Kothapet,"₹ 7,435/sq.ft.","1,197 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,2 BHK2 Baths,"₹ 89 L₹ 7,435/sq.ft."
76,2 BHK Apartment in Bachupally,"₹ 4,642/sq.ft.","1,077 sq.ft. (100 sq.m.) Carpet Area",(100 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 50 L₹ 4,642/sq.ft."
77,4 Bedroom House in New Bowenpally,"₹ 12,865/sq.ft.","4,275 sq.ft. (397 sq.m.) Plot Area",(397 sq.m.) Plot Area,4 BHK4 Baths,"₹ 5.5 Cr₹ 12,865/sq.ft."
78,2 BHK Apartment in Sai Nagar,"₹ 5,975/sq.ft.","1,205 sq.ft. (112 sq.m.) Carpet Area",(112 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 72 L₹ 5,975/sq.ft."
79,4 Bedroom House in 7th Phase KPHB,"₹ 5,223/sq.ft.","4,500 sq.ft. (418 sq.m.) Plot Area",(418 sq.m.) Plot Area,4 BHK4 Baths,"₹ 2.35 Cr₹ 5,223/sq.ft."
80,3 Bedroom House in Beeramguda,"₹ 11,111/sq.ft.","1,350 sq.ft. (125 sq.m.) Plot Area",(125 sq.m.) Plot Area,3 BHK5 Baths,"₹ 1.5 Cr₹ 11,111/sq.ft."
81,3 BHK Apartment in Pocharam,"₹ 3,917/sq.ft.","1,072 sq.ft. (100 sq.m.) Carpet Area",(100 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 42 L₹ 3,917/sq.ft."
82,3 BHK Apartment in Malkajgiri,"₹ 5,600/sq.ft.","2,000 sq.ft. (186 sq.m.) Carpet Area",(186 sq.m.) Carpet Area,3 BHK4 Baths,"₹ 1.12 Cr₹ 5,600/sq.ft."
83,Residential land / Plot in Shankarpally,"₹ 2,000/sq.ft.","2,835 sq.ft. (263 sq.m.) Plot Area",(263 sq.m.) Plot Area,,"₹ 56.7 L₹ 2,000/sq.ft."
84,2 BHK Apartment in Moti Nagar,"₹ 7,340/sq.ft.","1,366 sq.ft. (127 sq.m.) Super built-up Area",(127 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.2 Cr₹ 7,340/sq.ft."
85,3 BHK Apartment in Chandanagar,"₹ 4,750/sq.ft.","1,430 sq.ft. (133 sq.m.) Carpet Area",(133 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 67.93 L₹ 4,750/sq.ft."
86,5 Bedroom House in Moinabad,"₹ 3,121/sq.ft.","9,450 sq.ft. (878 sq.m.) Plot Area",(878 sq.m.) Plot Area,5 BHK4 Baths,"₹ 2.95 Cr₹ 3,121/sq.ft."
87,3 Bedroom House in Kondakal,"₹ 9,074/sq.ft.","2,700 sq.ft. (251 sq.m.) Plot Area",(251 sq.m.) Plot Area,3 BHK3 Baths,"₹ 2.45 Cr₹ 9,074/sq.ft."
88,Residential land / Plot in Jadcherla,"₹ 5,389/sq.ft.",334 sq.ft. (31 sq.m.) Plot Area,(31 sq.m.) Plot Area,,"₹ 18 L₹ 5,389/sq.ft."
89,Residential land / Plot in Shankarpally,"₹ 2,444/sq.ft.","1,998 sq.ft. (186 sq.m.) Plot Area",(186 sq.m.) Plot Area,,"₹ 48.84 L₹ 2,444/sq.ft."
90,Residential land / Plot in Sairam Nagar,"₹ 6,052/sq.ft.","2,313 sq.ft. (215 sq.m.) Plot Area",(215 sq.m.) Plot Area,,"₹ 1.4 Cr₹ 6,052/sq.ft."
91,3 BHK Apartment in Nallakunta,"₹ 5,619/sq.ft.","1,566 sq.ft. (145 sq.m.) Carpet Area",(145 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 88 L₹ 5,619/sq.ft."
92,Residential land / Plot in Ibrahimpatnam,"₹ 2,333/sq.ft.","2,178 sq.ft. (202 sq.m.) Plot Area",(202 sq.m.) Plot Area,,"₹ 50.82 L₹ 2,333/sq.ft."
93,"Residential land / Plot in Shad nagar, Hyderabad","₹ 3,164/sq.ft.","1,350 sq.ft. (125 sq.m.) Plot Area",(125 sq.m.) Plot Area,,"₹ 42.72 L₹ 3,164/sq.ft."
94,2 BHK Apartment in Pragathi Nagar,"₹ 4,489/sq.ft.","1,225 sq.ft. (114 sq.m.) Carpet Area",(114 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 55 L₹ 4,489/sq.ft."
95,3 BHK Apartment in Kushaiguda,"₹ 4,600/sq.ft.","1,500 sq.ft. (139 sq.m.) Carpet Area",(139 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 69 L₹ 4,600/sq.ft."
96,Residential land / Plot in Thimmapur,"₹ 1,709/sq.ft.","2,340 sq.ft. (217 sq.m.) Plot Area",(217 sq.m.) Plot Area,,"₹ 41 L₹ 1,709/sq.ft."
97,5 Bedroom House in Kapra,"₹ 7,894/sq.ft.","3,800 sq.ft. (353 sq.m.) Plot Area",(353 sq.m.) Plot Area,5 BHK4 Baths,"₹ 3 Cr₹ 7,894/sq.ft."
98,2 Bedroom House in Kowkur,"₹ 5,522/sq.ft.","1,503 sq.ft. (140 sq.m.) Plot Area",(140 sq.m.) Plot Area,2 BHK3 Baths,"₹ 83 L₹ 5,522/sq.ft."
99,4 Bedroom House in Cherlapally,"₹ 8,667/sq.ft.",900 sq.ft. (84 sq.m.) Plot Area,(84 sq.m.) Plot Area,4 BHK4 Baths,"₹ 79 L₹ 8,667/sq.ft."
100,2 BHK Apartment in KPHB,"₹ 7,900/sq.ft.","1,000 sq.ft. (93 sq.m.) Built-up Area",(93 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 79 L₹ 7,900/sq.ft."
101,2 BHK Apartment in Qutbullapur,"₹ 5,853/sq.ft.","1,025 sq.ft. (95 sq.m.) Carpet Area",(95 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 60 L₹ 5,853/sq.ft."
102,2 BHK Apartment in Manikonda,"₹ 6,250/sq.ft.","1,200 sq.ft. (111 sq.m.) Super built-up Area",(111 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 75 L₹ 6,250/sq.ft."
103,3 BHK Apartment in Miyapur,"₹ 6,117/sq.ft.","1,602 sq.ft. (149 sq.m.) Super built-up Area",(149 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 98 L₹ 6,117/sq.ft."
104,Residential land / Plot in Hayathnagar,"₹ 3,546/sq.ft.","4,230 sq.ft. (393 sq.m.) Plot Area",(393 sq.m.) Plot Area,,"₹ 1.5 Cr₹ 3,546/sq.ft."
105,3 Bedroom House in Old Safilguda,"₹ 11,904/sq.ft.","1,134 sq.ft. (105 sq.m.) Plot Area",(105 sq.m.) Plot Area,3 BHK3 Baths,"₹ 1.35 Cr₹ 11,904/sq.ft."
