,location,price_per_sqft,total_sqft,builtup_area,bhk,price
157,2 BHK Apartment in Qutbullapur,"₹ 5,583/sq.ft.","1,200 sq.ft. (111 sq.m.) Carpet Area",(111 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 67 L₹ 5,583/sq.ft."
158,Residential land / Plot in Isnapur Village,"₹ 3,222/sq.ft.","5,400 sq.ft. (502 sq.m.) Plot Area",(502 sq.m.) Plot Area,,"₹ 1.74 Cr₹ 3,222/sq.ft."
159,Residential land / Plot in Nallagandla,"₹ 6,111/sq.ft.","9,135 sq.ft. (849 sq.m.) Plot Area",(849 sq.m.) Plot Area,,"₹ 5.58 Cr₹ 6,111/sq.ft."
160,3 BHK Apartment in Financial District,"₹ 9,708/sq.ft.","2,026 sq.ft. (188 sq.m.) Super built-up Area",(188 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 2 Cr₹ 9,708/sq.ft."
161,3 BHK Apartment in Bachupally,"₹ 5,828/sq.ft.","1,287 sq.ft. (120 sq.m.) Super built-up Area",(120 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 73 L₹ 5,828/sq.ft."
162,3 Bedroom House in Aushapur,"₹ 6,650/sq.ft.","1,503 sq.ft. (140 sq.m.) Plot Area",(140 sq.m.) Plot Area,3 BHK3 Baths,"₹ 99.96 L₹ 6,650/sq.ft."
163,3 BHK Apartment in Narsingi,"₹ 9,066/sq.ft.","1,875 sq.ft. (174 sq.m.) Super built-up Area",(174 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.7 Cr₹ 9,066/sq.ft."
164,3 Bedroom House in Hayathnagar,"₹ 5,518/sq.ft.","2,700 sq.ft. (251 sq.m.) Plot Area",(251 sq.m.) Plot Area,3 BHK4 Baths,"₹ 1.49 Cr₹ 5,518/sq.ft."
165,Residential land / Plot in Sadashivpet,₹ 891/sq.ft.,"1,683 sq.ft. (156 sq.m.) Plot Area",(156 sq.m.) Plot Area,,₹ 15 L₹ 891/sq.ft.
166,Residential land / Plot in Kollur,"₹ 4,667/sq.ft.","3,600 sq.ft. (334 sq.m.) Plot Area",(334 sq.m.) Plot Area,,"₹ 1.68 Cr₹ 4,667/sq.ft."
167,2 Bedroom House in Moula Ali,"₹ 6,018/sq.ft.","1,080 sq.ft. (100 sq.m.) Plot Area",(100 sq.m.) Plot Area,2 BHK2 Baths,"₹ 65 L₹ 6,018/sq.ft."
168,Residential land / Plot in Dr AS Rao Nagar,"₹ 15,556/sq.ft.","4,500 sq.ft. (418 sq.m.) Plot Area",(418 sq.m.) Plot Area,,"₹ 7 Cr₹ 15,556/sq.ft."
169,2 BHK Apartment in Hi Tech City,"₹ 8,722/sq.ft.","1,135 sq.ft. (105 sq.m.) Super built-up Area",(105 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 99 L₹ 8,722/sq.ft."
170,2 BHK Apartment in TurkaYamjal,"₹ 6,363/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",(102 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 68 L₹ 6,363/sq.ft."
171,3 BHK Apartment in Nallagandla,"₹ 9,722/sq.ft.","1,800 sq.ft. (167 sq.m.) Super built-up Area",(167 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.75 Cr₹ 9,722/sq.ft."
172,3 BHK Apartment in Kokapet,"₹ 8,100/sq.ft.","2,120 sq.ft. (197 sq.m.) Super built-up Area",(197 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.7 Cr₹ 8,100/sq.ft."
173,3 Bedroom House in Kondakal,"₹ 8,518/sq.ft.","2,700 sq.ft. (251 sq.m.) Plot Area",(251 sq.m.) Plot Area,3 BHK3 Baths,"₹ 2.3 Cr₹ 8,518/sq.ft."
174,3 Bedroom House in TurkaYamjal,"₹ 8,667/sq.ft.",900 sq.ft. (84 sq.m.) Plot Area,(84 sq.m.) Plot Area,3 BHK3 Baths,"₹ 78 L₹ 8,667/sq.ft."
175,Residential land / Plot in Shamirpet,"₹ 2,857/sq.ft.","1,260 sq.ft. (117 sq.m.) Plot Area",(117 sq.m.) Plot Area,,"₹ 36 L₹ 2,857/sq.ft."
176,3 BHK Apartment in Kompally,"₹ 7,362/sq.ft.","1,725 sq.ft. (160 sq.m.) Super built-up Area",(160 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.27 Cr₹ 7,362/sq.ft."
177,2 BHK Apartment in Kondapur,"₹ 9,369/sq.ft.","1,174 sq.ft. (109 sq.m.) Built-up Area",(109 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 1.1 Cr₹ 9,369/sq.ft."
178,3 BHK Apartment in Narsingi,"₹ 10,105/sq.ft.","3,216 sq.ft. (299 sq.m.) Super built-up Area",(299 sq.m.) Super built-up Area,3 BHK4 Baths,"₹ 3.25 Cr₹ 10,105/sq.ft."
179,12 Bedroom House in Qutbullapur,"₹ 5,833/sq.ft.","6,000 sq.ft. (557 sq.m.) Built-up Area",(557 sq.m.) Built-up Area,12 BHK12 Baths,"₹ 3.5 Cr₹ 5,833/sq.ft."
180,Residential land / Plot in Injapur,"₹ 4,667/sq.ft.","1,800 sq.ft. (167 sq.m.) Plot Area",(167 sq.m.) Plot Area,,"₹ 84 L₹ 4,667/sq.ft."
181,4 Bedroom House in Kapra,"₹ 11,594/sq.ft.","1,035 sq.ft. (96 sq.m.) Plot Area",(96 sq.m.) Plot Area,4 BHK4 Baths,"₹ 1.2 Cr₹ 11,594/sq.ft."
182,2 BHK Apartment in Miyapur,"₹ 4,800/sq.ft.","1,000 sq.ft. (93 sq.m.) Carpet Area",(93 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 48 L₹ 4,800/sq.ft."
183,23 Bedroom House in Amberpet,"₹ 6,666/sq.ft.","4,500 sq.ft. (418 sq.m.) Carpet Area",(418 sq.m.) Carpet Area,23 BHK10 Baths,"₹ 3 Cr₹ 6,666/sq.ft."
184,2 BHK Apartment in Nanakramguda,"₹ 9,000/sq.ft.","1,395 sq.ft. (130 sq.m.) Super built-up Area",(130 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.27 Cr₹ 9,000/sq.ft."
185,Residential land / Plot in Nizampet,"₹ 10,921/sq.ft.","2,106 sq.ft. (196 sq.m.) Plot Area",(196 sq.m.) Plot Area,,"₹ 2.3 Cr₹ 10,921/sq.ft."
186,2 BHK Apartment in Nagole,"₹ 5,079/sq.ft.",945 sq.ft. (88 sq.m.) Built-up Area,(88 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 48 L₹ 5,079/sq.ft."
187,2 BHK Apartment in Bachupally,"₹ 3,773/sq.ft.","1,060 sq.ft. (98 sq.m.) Super built-up Area",(98 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 40 L₹ 3,773/sq.ft."
188,2 BHK Apartment in New Bowenpally,"₹ 4,250/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 34 L₹ 4,250/sq.ft."
189,3 BHK Apartment in Nallagandla,"₹ 7,861/sq.ft.","1,590 sq.ft. (148 sq.m.) Super built-up Area",(148 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.25 Cr₹ 7,861/sq.ft."
190,2 BHK Apartment in Miyapur,"₹ 8,032/sq.ft.","1,245 sq.ft. (116 sq.m.) Super built-up Area",(116 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1 Cr₹ 8,032/sq.ft."
191,2 BHK Apartment in Kompally,"₹ 5,485/sq.ft.","1,267 sq.ft. (118 sq.m.) Carpet Area",(118 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 69.5 L₹ 5,485/sq.ft."
192,2 BHK Apartment in Attapur,"₹ 6,896/sq.ft.","1,189 sq.ft. (110 sq.m.) Built-up Area",(110 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 82 L₹ 6,896/sq.ft."
193,2 BHK Apartment in Kondapur,"₹ 5,263/sq.ft.","1,330 sq.ft. (124 sq.m.) Carpet Area",(124 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 70 L₹ 5,263/sq.ft."
194,Residential land / Plot in Aminpur,"₹ 5,556/sq.ft.","12,600 sq.ft. (1171 sq.m.) Plot Area",(1171 sq.m.) Plot Area,,"₹ 7 Cr₹ 5,556/sq.ft."
195,25 Bedroom House in BS Maktha,"₹ 15,000/sq.ft.",950 sq.ft. (88 sq.m.) Plot Area,(88 sq.m.) Plot Area,25 BHK20 Baths,"₹ 15 Cr₹ 15,000/sq.ft."
196,Residential land / Plot in Kadthal,"₹ 1,111/sq.ft.","1,350 sq.ft. (125 sq.m.) Plot Area",(125 sq.m.) Plot Area,,"₹ 15 L₹ 1,111/sq.ft."
197,3 Bedroom House in Vanasthalipuram,"₹ 9,047/sq.ft.","2,100 sq.ft. (195 sq.m.) Plot Area",(195 sq.m.) Plot Area,3 BHK3 Baths,"₹ 1.9 Cr₹ 9,047/sq.ft."
198,2 BHK Apartment in Mohan Nagar,"₹ 3,846/sq.ft.",650 sq.ft. (60 sq.m.) Carpet Area,(60 sq.m.) Carpet Area,2 BHK1 Bath,"₹ 25 L₹ 3,846/sq.ft."
199,7 Bedroom House in Beeramguda,"₹ 3,410/sq.ft.","4,750 sq.ft. (441 sq.m.) Built-up Area",(441 sq.m.) Built-up Area,7 BHK8 Baths,"₹ 1.62 Cr₹ 3,410/sq.ft."
200,4 BHK Apartment in Gachibowli,"₹ 13,200/sq.ft.","3,977 sq.ft. (369 sq.m.) Super built-up Area",(369 sq.m.) Super built-up Area,4 BHK6 Baths,"₹ 5.25 Cr₹ 13,200/sq.ft."
201,Residential land / Plot in Mucherla,"₹ 1,655/sq.ft.","3,141 sq.ft. (292 sq.m.) Plot Area",(292 sq.m.) Plot Area,,"₹ 52 L₹ 1,655/sq.ft."
202,3 BHK Apartment in Kokapet,"₹ 7,926/sq.ft.","1,640 sq.ft. (152 sq.m.) Built-up Area",(152 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 7,926/sq.ft."
203,2 BHK Apartment in Kukatpally,"₹ 5,643/sq.ft.","1,010 sq.ft. (94 sq.m.) Built-up Area",(94 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 57 L₹ 5,643/sq.ft."
204,3 BHK Apartment in Madinaguda,"₹ 6,182/sq.ft.","1,585 sq.ft. (147 sq.m.) Super built-up Area",(147 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 98 L₹ 6,182/sq.ft."
205,2 BHK Apartment in Appa Junction,"₹ 7,543/sq.ft.","1,392 sq.ft. (129 sq.m.) Super built-up Area",(129 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.05 Cr₹ 7,543/sq.ft."
206,2 Bedroom House in Gori Nagar,"₹ 10,000/sq.ft.","1,350 sq.ft. (125 sq.m.) Plot Area",(125 sq.m.) Plot Area,2 BHK2 Baths,"₹ 1.35 Cr₹ 10,000/sq.ft."
207,2 BHK Apartment in RL Nagar,"₹ 3,943/sq.ft.","1,065 sq.ft. (99 sq.m.) Carpet Area",(99 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 42 L₹ 3,943/sq.ft."
