,location,price_per_sqft,total_sqft,builtup_area,bhk,price
115,1 BHK Apartment in Sector 16 Taloja,"₹ 11,836/sq.ft.",725 sq.ft. (67 sq.m.) Built-up Area,(67 sq.m.) Built-up Area,1 BHK2 Baths,"₹ 58 L₹ 11,836/sq.ft."
116,1 BHK Apartment in Sector 6 Kharghar,"₹ 9,555/sq.ft.",675 sq.ft. (63 sq.m.) Super built-up Area,(63 sq.m.) Super built-up Area,1 BHK1 Bath,"₹ 64.5 L₹ 9,555/sq.ft."
117,2 BHK Apartment in Kharghar,"₹ 7,589/sq.ft.","1,120 sq.ft. (104 sq.m.) Super built-up Area",(104 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 85 L₹ 7,589/sq.ft."
118,1 BHK Apartment in Sector 24 Kamothe,"₹ 8,956/sq.ft.",690 sq.ft. (64 sq.m.) Super built-up Area,(64 sq.m.) Super built-up Area,1 BHK1 Bath,"₹ 61.8 L₹ 8,956/sq.ft."
119,2 BHK Apartment in Sector 19 Airoli,"₹ 10,545/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",(102 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.16 Cr₹ 10,545/sq.ft."
120,1 BHK Apartment in Sector 18 Kharghar,"₹ 13,095/sq.ft.",420 sq.ft. (39 sq.m.) Carpet Area,(39 sq.m.) Carpet Area,1 BHK1 Bath,"₹ 55 L₹ 13,095/sq.ft."
121,1 BHK Apartment in Sector 17 Ulwe,"₹ 9,136/sq.ft.",695 sq.ft. (65 sq.m.) Super built-up Area,(65 sq.m.) Super built-up Area,1 BHK2 Baths,"₹ 63.5 L₹ 9,136/sq.ft."
122,1 BHK Apartment in Sector 10 Sanpada,"₹ 18,750/sq.ft.",400 sq.ft. (37 sq.m.) Carpet Area,(37 sq.m.) Carpet Area,1 BHK2 Baths,"₹ 75 L₹ 18,750/sq.ft."
123,1 BHK Apartment in Sector 21 Kamothe,"₹ 8,239/sq.ft.",710 sq.ft. (66 sq.m.) Built-up Area,(66 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 58.5 L₹ 8,239/sq.ft."
124,2 BHK Apartment in Sector 16 Kamothe,"₹ 6,995/sq.ft.","1,015 sq.ft. (94 sq.m.) Super built-up Area",(94 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 71 L₹ 6,995/sq.ft."
