,location,price_per_sqft,total_sqft,builtup_area,bhk,price
390,2 BHK Independent Builder Floor in A5 Block Paschim Vihar,"₹ 13,272/sq.ft.",753 sq.ft. (70 sq.m.) Carpet Area,(70 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 1 Cr₹ 13,272/sq.ft."
391,2 BHK Independent Builder Floor in A5 Block Paschim Vihar,"₹ 12,608/sq.ft.",753 sq.ft. (70 sq.m.) Carpet Area,(70 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 95 L₹ 12,608/sq.ft."
392,3 BHK Apartment in Shalimar garden,"₹ 6,363/sq.ft.","1,100 sq.ft. (102 sq.m.) Carpet Area",(102 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 70 L₹ 6,363/sq.ft."
393,3 BHK Apartment in Sector 2B Vasundhara,"₹ 8,534/sq.ft.","1,699 sq.ft. (158 sq.m.) Carpet Area",(158 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.45 Cr₹ 8,534/sq.ft."
394,4 BHK Independent Builder Floor in Vikas Puri,"₹ 15,789/sq.ft.","2,850 sq.ft. (265 sq.m.) Carpet Area",(265 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 4.5 Cr₹ 15,789/sq.ft."
395,5 Bedroom House in DLF Phase 3,"₹ 26,371/sq.ft.","2,844 sq.ft. (264 sq.m.) Plot Area",(264 sq.m.) Plot Area,5 BHK6 Baths,"₹ 7.5 Cr₹ 26,371/sq.ft."
396,4 BHK Apartment in Sohna Road,"₹ 9,334/sq.ft.","4,553 sq.ft. (423 sq.m.) Super built-up Area",(423 sq.m.) Super built-up Area,4 BHK5 Baths,"₹ 4.25 Cr₹ 9,334/sq.ft."
397,3 BHK Independent Builder Floor in Chattarpur Enclave Phase 2,"₹ 9,545/sq.ft.","1,170 sq.ft. (109 sq.m.) Built-up Area",(109 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 1.05 Cr₹ 9,545/sq.ft."
398,3 BHK Apartment in Mayur Vihar Phase 1,"₹ 22,413/sq.ft.","1,450 sq.ft. (135 sq.m.) Super built-up Area",(135 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 3.25 Cr₹ 22,413/sq.ft."
399,2 BHK Independent Builder Floor in East of Kailash,"₹ 19,480/sq.ft.",770 sq.ft. (72 sq.m.) Carpet Area,(72 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 1.5 Cr₹ 19,480/sq.ft."
400,3 BHK Independent Builder Floor in Sector 14 Faridabad,"₹ 9,285/sq.ft.","2,800 sq.ft. (260 sq.m.) Carpet Area",(260 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 2.6 Cr₹ 9,285/sq.ft."
401,1 Bedroom House in Sector 1 Rohini,"₹ 21,067/sq.ft.",356 sq.ft. (33 sq.m.) Plot Area,(33 sq.m.) Plot Area,1 BHK1 Bath,"₹ 75 L₹ 21,067/sq.ft."
402,3 BHK Independent Builder Floor in Palam Vihar,"₹ 6,172/sq.ft.","3,240 sq.ft. (301 sq.m.) Carpet Area",(301 sq.m.) Carpet Area,3 BHK4 Baths,"₹ 2 Cr₹ 6,172/sq.ft."
403,3 Bedroom House in A1 Block Paschim Vihar,"₹ 52,777/sq.ft.","1,800 sq.ft. (167 sq.m.) Plot Area",(167 sq.m.) Plot Area,3 BHK2 Baths,"₹ 9.5 Cr₹ 52,777/sq.ft."
404,3 BHK Independent Builder Floor in Zamrudpur,"₹ 48,387/sq.ft.","1,550 sq.ft. (144 sq.m.) Built-up Area",(144 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 7.5 Cr₹ 48,387/sq.ft."
405,3 BHK Apartment in Sheikh Sarai,"₹ 11,250/sq.ft.","2,000 sq.ft. (186 sq.m.) Carpet Area",(186 sq.m.) Carpet Area,3 BHK4 Baths,"₹ 2.25 Cr₹ 11,250/sq.ft."
406,4 BHK Independent Builder Floor in DLF Phase 3,"₹ 10,000/sq.ft.","4,500 sq.ft. (418 sq.m.) Super built-up Area",(418 sq.m.) Super built-up Area,4 BHK4 Baths,"₹ 4.5 Cr₹ 10,000/sq.ft."
407,Residential land / Plot in Sector 40 Gurgaon,"₹ 21,667/sq.ft.",900 sq.ft. (84 sq.m.) Plot Area,(84 sq.m.) Plot Area,,"₹ 1.95 Cr₹ 21,667/sq.ft."
408,4 BHK Independent Builder Floor in DLF Phase 3,"₹ 14,367/sq.ft.","2,088 sq.ft. (194 sq.m.) Carpet Area",(194 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 3 Cr₹ 14,367/sq.ft."
409,2 BHK Apartment in Greater Noida West,"₹ 5,139/sq.ft.","1,075 sq.ft. (100 sq.m.) Super built-up Area",(100 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 55.25 L₹ 5,139/sq.ft."
410,2 BHK Apartment in Greater Noida West,"₹ 4,651/sq.ft.","1,075 sq.ft. (100 sq.m.) Super built-up Area",(100 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 50 L₹ 4,651/sq.ft."
411,3 BHK Apartment in Greater Noida West,"₹ 5,611/sq.ft.","1,185 sq.ft. (110 sq.m.) Super built-up Area",(110 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 66.5 L₹ 5,611/sq.ft."
412,2 BHK Apartment in Greater Noida West,"₹ 5,116/sq.ft.","1,075 sq.ft. (100 sq.m.) Super built-up Area",(100 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 55 L₹ 5,116/sq.ft."
413,4 BHK Independent Builder Floor in Sector 21A Faridabad,"₹ 8,441/sq.ft.","4,950 sq.ft. (460 sq.m.) Super built-up Area",(460 sq.m.) Super built-up Area,4 BHK4 Baths,"₹ 3.25 Cr₹ 8,441/sq.ft."
414,3 BHK Apartment in Techzone 4 Greater Noida West,"₹ 6,903/sq.ft.","1,521 sq.ft. (141 sq.m.) Super built-up Area",(141 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.05 Cr₹ 6,903/sq.ft."
415,4 BHK Independent Builder Floor in Prashant Vihar,"₹ 12,033/sq.ft.","3,000 sq.ft. (279 sq.m.) Carpet Area",(279 sq.m.) Carpet Area,4 BHK3 Baths,"₹ 3.61 Cr₹ 12,033/sq.ft."
416,3 BHK Independent Builder Floor in Dabri Extension East,"₹ 5,102/sq.ft.",980 sq.ft. (91 sq.m.) Carpet Area,(91 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 50 L₹ 5,102/sq.ft."
417,3 BHK Apartment in Sahibabad,"₹ 5,088/sq.ft.","1,690 sq.ft. (157 sq.m.) Super built-up Area",(157 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 86 L₹ 5,088/sq.ft."
418,2 BHK Independent Builder Floor in Rohini,"₹ 6,162/sq.ft.",925 sq.ft. (86 sq.m.) Super built-up Area,(86 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 57 L₹ 6,162/sq.ft."
419,Residential land / Plot in Sector 55 Gurgaon,"₹ 40,885/sq.ft.","4,158 sq.ft. (386 sq.m.) Plot Area",(386 sq.m.) Plot Area,,"₹ 17 Cr₹ 40,885/sq.ft."
420,Residential land / Plot in Sector 27 Noida,"₹ 182,870/sq.ft.",432 sq.ft. (40 sq.m.) Plot Area,(40 sq.m.) Plot Area,,"₹ 7.9 Cr₹ 182,870/sq.ft."
421,3 Bedroom House in C Block Sushant Lok Phase 1,"₹ 25,192/sq.ft.","3,771 sq.ft. (350 sq.m.) Plot Area",(350 sq.m.) Plot Area,3 BHK3 Baths,"₹ 9.5 Cr₹ 25,192/sq.ft."
422,2 BHK Independent Builder Floor in Uttam Nagar West,"₹ 4,444/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 40 L₹ 4,444/sq.ft."
423,5 BHK Independent Builder Floor in Ashoka Enclave,"₹ 6,060/sq.ft.","3,300 sq.ft. (307 sq.m.) Carpet Area",(307 sq.m.) Carpet Area,5 BHK4 Baths,"₹ 2 Cr₹ 6,060/sq.ft."
424,3 BHK Apartment in Sector 128 Noida,"₹ 11,835/sq.ft.","2,400 sq.ft. (223 sq.m.) Super built-up Area",(223 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 2.45 Cr₹ 11,835/sq.ft."
425,3 BHK Apartment in Mohan Nagar,"₹ 4,400/sq.ft.","1,250 sq.ft. (116 sq.m.) Super built-up Area",(116 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 55 L₹ 4,400/sq.ft."
426,3 BHK Apartment in Sector 1 Greater Noida West,"₹ 6,862/sq.ft.","1,530 sq.ft. (142 sq.m.) Carpet Area",(142 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 1.05 Cr₹ 6,862/sq.ft."
427,3 BHK Apartment in Sector 86 Gurgaon,"₹ 7,767/sq.ft.","1,931 sq.ft. (179 sq.m.) Carpet Area",(179 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.5 Cr₹ 7,767/sq.ft."
428,Residential land / Plot in Sector 82A Gurgaon,"₹ 15,107/sq.ft.","2,052 sq.ft. (191 sq.m.) Plot Area",(191 sq.m.) Plot Area,,"₹ 3.1 Cr₹ 15,107/sq.ft."
429,3 BHK Independent Builder Floor in Malviya Nagar,"₹ 9,481/sq.ft.","1,350 sq.ft. (125 sq.m.) Carpet Area",(125 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 1.28 Cr₹ 9,481/sq.ft."
430,4 BHK Independent Builder Floor in DLF Phase 1,"₹ 30,667/sq.ft.","1,663 sq.ft. (155 sq.m.) Carpet Area",(155 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 5.1 Cr₹ 30,667/sq.ft."
431,3 BHK Apartment in Sector 99A Gurgaon,"₹ 6,760/sq.ft.","1,997 sq.ft. (186 sq.m.) Super built-up Area",(186 sq.m.) Super built-up Area,3 BHK5 Baths,"₹ 1.35 Cr₹ 6,760/sq.ft."
432,17 Bedroom House in Sector 17 Noida,"₹ 23,003/sq.ft.","10,868 sq.ft. (1010 sq.m.) Built-up Area",(1010 sq.m.) Built-up Area,17 BHK17 Baths,"₹ 25 Cr₹ 23,003/sq.ft."
433,4 BHK Independent Builder Floor in Mukherjee Nagar,"₹ 17,857/sq.ft.","2,100 sq.ft. (195 sq.m.) Built-up Area",(195 sq.m.) Built-up Area,4 BHK3 Baths,"₹ 3.75 Cr₹ 17,857/sq.ft."
434,4 BHK Independent Builder Floor in Mukherjee Nagar,"₹ 15,000/sq.ft.","2,100 sq.ft. (195 sq.m.) Built-up Area",(195 sq.m.) Built-up Area,4 BHK3 Baths,"₹ 3.15 Cr₹ 15,000/sq.ft."
435,3 BHK Apartment in Pitampura,"₹ 14,577/sq.ft.","1,715 sq.ft. (159 sq.m.) Super built-up Area",(159 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 2.5 Cr₹ 14,577/sq.ft."
436,4 Bedroom House in Navyug Market,"₹ 7,432/sq.ft.","1,345 sq.ft. (125 sq.m.) Plot Area",(125 sq.m.) Plot Area,4 BHK2 Baths,"₹ 1 Cr₹ 7,432/sq.ft."
437,3 BHK Apartment in Moti Nagar,"₹ 18,000/sq.ft.","1,621 sq.ft. (151 sq.m.) Super built-up Area",(151 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 2.95 Cr₹ 18,000/sq.ft."
438,2 BHK Independent Builder Floor in Garhi,"₹ 6,316/sq.ft.",950 sq.ft. (88 sq.m.) Built-up Area,(88 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 60 L₹ 6,316/sq.ft."
439,Residential land / Plot in Shalimar Village,"₹ 147,058/sq.ft.",170 sq.ft. (16 sq.m.) Plot Area,(16 sq.m.) Plot Area,,"₹ 2.5 Cr₹ 147,058/sq.ft."
440,3 BHK Apartment in Vasundhara Enclave,"₹ 10,745/sq.ft.","1,978 sq.ft. (184 sq.m.) Super built-up Area",(184 sq.m.) Super built-up Area,3 BHK4 Baths,"₹ 1.7 Cr₹ 10,745/sq.ft."
441,Residential land / Plot in Bakoli,"₹ 3,938/sq.ft.","19,044 sq.ft. (1769 sq.m.) Plot Area",(1769 sq.m.) Plot Area,,"₹ 7.5 Cr₹ 3,938/sq.ft."
442,4 BHK Independent Builder Floor in Sector 73 Gurgaon,"₹ 14,333/sq.ft.","3,000 sq.ft. (279 sq.m.) Carpet Area",(279 sq.m.) Carpet Area,4 BHK6 Baths,"₹ 4.3 Cr₹ 14,333/sq.ft."
443,4 BHK Independent Builder Floor in Vivek Vihar,"₹ 12,504/sq.ft.","2,799 sq.ft. (260 sq.m.) Carpet Area",(260 sq.m.) Carpet Area,4 BHK3 Baths,"₹ 3.5 Cr₹ 12,504/sq.ft."
444,4 BHK Independent Builder Floor in South City 1,"₹ 15,714/sq.ft.","2,100 sq.ft. (195 sq.m.) Carpet Area",(195 sq.m.) Carpet Area,4 BHK3 Baths,"₹ 3.3 Cr₹ 15,714/sq.ft."
445,3 BHK Apartment in Vasundhara Enclave,"₹ 11,250/sq.ft.","1,582 sq.ft. (147 sq.m.) Built-up Area",(147 sq.m.) Built-up Area,3 BHK4 Baths,"₹ 1.7 Cr₹ 11,250/sq.ft."
446,2 BHK Independent Builder Floor in Sector 8 Dwarka,"₹ 11,111/sq.ft.",648 sq.ft. (60 sq.m.) Carpet Area,(60 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 72 L₹ 11,111/sq.ft."
447,3 BHK Apartment in Sector 3 Dwarka,"₹ 9,375/sq.ft.","1,600 sq.ft. (149 sq.m.) Super built-up Area",(149 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 1.5 Cr₹ 9,375/sq.ft."
448,Residential land / Plot in Preet Vihar,"₹ 60,386/sq.ft.","4,140 sq.ft. (385 sq.m.) Plot Area",(385 sq.m.) Plot Area,,"₹ 25 Cr₹ 60,386/sq.ft."
449,4 BHK Apartment in Mehrauli,"₹ 3,869/sq.ft.","1,680 sq.ft. (156 sq.m.) Super built-up Area",(156 sq.m.) Super built-up Area,4 BHK4 Baths,"₹ 65 L₹ 3,869/sq.ft."
450,3 BHK Independent Builder Floor in Ashram,"₹ 5,333/sq.ft.","1,125 sq.ft. (105 sq.m.) Super built-up Area",(105 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 60 L₹ 5,333/sq.ft."
451,3 BHK Independent Builder Floor in Shyam Nagar,"₹ 8,417/sq.ft.","1,188 sq.ft. (110 sq.m.) Carpet Area",(110 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 1.1 Cr₹ 8,417/sq.ft."
452,3 BHK Apartment in Bodella,"₹ 10,135/sq.ft.","1,480 sq.ft. (138 sq.m.) Carpet Area",(138 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.5 Cr₹ 10,135/sq.ft."
453,3 BHK Apartment in Sector 33 Gurgaon,"₹ 8,500/sq.ft.","1,545 sq.ft. (144 sq.m.) Super built-up Area",(144 sq.m.) Super built-up Area,3 BHK4 Baths,"₹ 1.32 Cr₹ 8,500/sq.ft."
454,2 BHK Apartment in Nyay Khand 1,"₹ 5,612/sq.ft.",980 sq.ft. (91 sq.m.) Built-up Area,(91 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 55 L₹ 5,612/sq.ft."
455,2 BHK Independent Builder Floor in Sriniwas Puri,"₹ 7,000/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 56 L₹ 7,000/sq.ft."
456,1 BHK Apartment in Sector 22D Yamuna Expressway,"₹ 4,687/sq.ft.",320 sq.ft. (30 sq.m.) Carpet Area,(30 sq.m.) Carpet Area,1 BHK1 Bath,"₹ 15 L₹ 4,687/sq.ft."
457,3 BHK Apartment in Vasundhara Enclave,"₹ 8,800/sq.ft.","1,250 sq.ft. (116 sq.m.) Carpet Area",(116 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 1.1 Cr₹ 8,800/sq.ft."
458,1 BHK Apartment in Sector 56 Gurgaon,"₹ 9,500/sq.ft.",600 sq.ft. (56 sq.m.) Super built-up Area,(56 sq.m.) Super built-up Area,1 BHK1 Bath,"₹ 57 L₹ 9,500/sq.ft."
459,3 BHK Apartment in Sarita Vihar,"₹ 11,666/sq.ft.","1,800 sq.ft. (167 sq.m.) Super built-up Area",(167 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 2.1 Cr₹ 11,666/sq.ft."
460,3 BHK Apartment in Indirapuram,"₹ 7,879/sq.ft.","1,396 sq.ft. (130 sq.m.) Carpet Area",(130 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.1 Cr₹ 7,879/sq.ft."
461,Residential land / Plot in Sector 88 Faridabad,"₹ 10,336/sq.ft.","2,322 sq.ft. (216 sq.m.) Plot Area",(216 sq.m.) Plot Area,,"₹ 2.4 Cr₹ 10,336/sq.ft."
462,4 BHK Independent Builder Floor in Green Park Main,"₹ 20,000/sq.ft.","2,970 sq.ft. (276 sq.m.) Carpet Area",(276 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 5.94 Cr₹ 20,000/sq.ft."
463,3 BHK Apartment in Greater Kailash 2,"₹ 5,926/sq.ft.","2,700 sq.ft. (251 sq.m.) Carpet Area",(251 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 1.6 Cr₹ 5,926/sq.ft."
464,4 BHK Apartment in Sector 108 Gurgaon,"₹ 18,000/sq.ft.","2,343 sq.ft. (218 sq.m.) Super built-up Area",(218 sq.m.) Super built-up Area,4 BHK5 Baths,"₹ 3.6 Cr₹ 18,000/sq.ft."
465,Residential land / Plot in Yamuna Expressway,"₹ 3,902/sq.ft.","5,381 sq.ft. (500 sq.m.) Plot Area",(500 sq.m.) Plot Area,,"₹ 2.1 Cr₹ 3,902/sq.ft."
466,3 BHK Independent Builder Floor in Amar Colony,"₹ 12,222/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.1 Cr₹ 12,222/sq.ft."
467,2 BHK Apartment in Sector 16 Greater Noida,"₹ 5,188/sq.ft.","1,315 sq.ft. (122 sq.m.) Carpet Area",(122 sq.m.) Carpet Area,2 BHK3 Baths,"₹ 65.5 L₹ 5,188/sq.ft."
468,4 BHK Independent Builder Floor in Indira Nagar,"₹ 9,070/sq.ft.","2,205 sq.ft. (205 sq.m.) Built-up Area",(205 sq.m.) Built-up Area,4 BHK4 Baths,"₹ 2 Cr₹ 9,070/sq.ft."
469,3 BHK Independent Builder Floor in Dwarka Mor,"₹ 6,123/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 55.11 L₹ 6,123/sq.ft."
470,3 BHK Apartment in Sector 13 Rohini,"₹ 18,057/sq.ft.","1,246 sq.ft. (116 sq.m.) Carpet Area",(116 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 2.25 Cr₹ 18,057/sq.ft."
471,3 BHK Independent Builder Floor in Bhajanpura,"₹ 6,842/sq.ft.",950 sq.ft. (88 sq.m.) Built-up Area,(88 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 65 L₹ 6,842/sq.ft."
472,9 Bedroom House in Sector 104 Gurgaon,"₹ 10,000/sq.ft.",900 sq.ft. (84 sq.m.) Plot Area,(84 sq.m.) Plot Area,9 BHK6 Baths,"₹ 90 L₹ 10,000/sq.ft."
473,4 Bedroom House in Vivek Vihar Phase 1,"₹ 46,666/sq.ft.","2,250 sq.ft. (209 sq.m.) Plot Area",(209 sq.m.) Plot Area,4 BHK3 Baths,"₹ 10.5 Cr₹ 46,666/sq.ft."
474,8 Bedroom House in Rana Pratap Bagh,"₹ 24,691/sq.ft.","2,835 sq.ft. (263 sq.m.) Plot Area",(263 sq.m.) Plot Area,8 BHK9 Baths,"₹ 7 Cr₹ 24,691/sq.ft."
475,Residential land / Plot in Sector 10 Raj Nagar,"₹ 17,134/sq.ft.","1,926 sq.ft. (179 sq.m.) Plot Area",(179 sq.m.) Plot Area,,"₹ 3.3 Cr₹ 17,134/sq.ft."
476,2 BHK Apartment in Sector 13 Rohini,"₹ 15,579/sq.ft.",950 sq.ft. (88 sq.m.) Carpet Area,(88 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 1.39 Cr₹ 15,579/sq.ft."
477,2 Bedroom House in Sector 6 Rohini,"₹ 28,750/sq.ft.",320 sq.ft. (30 sq.m.) Plot Area,(30 sq.m.) Plot Area,2 BHK1 Bath,"₹ 92 L₹ 28,750/sq.ft."
478,3 BHK Apartment in Sector 86 Gurgaon,"₹ 9,418/sq.ft.","1,858 sq.ft. (173 sq.m.) Carpet Area",(173 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.75 Cr₹ 9,418/sq.ft."
479,4 BHK Apartment in Sarita Vihar,"₹ 8,510/sq.ft.","2,350 sq.ft. (218 sq.m.) Super built-up Area",(218 sq.m.) Super built-up Area,4 BHK3 Baths,"₹ 2 Cr₹ 8,510/sq.ft."
480,3 BHK Apartment in IP Extension,"₹ 12,758/sq.ft.","1,450 sq.ft. (135 sq.m.) Built-up Area",(135 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 1.85 Cr₹ 12,758/sq.ft."
481,4 BHK Apartment in Mayur Vihar Phase 1,"₹ 16,250/sq.ft.","1,600 sq.ft. (149 sq.m.) Built-up Area",(149 sq.m.) Built-up Area,4 BHK3 Baths,"₹ 2.6 Cr₹ 16,250/sq.ft."
482,3 BHK Apartment in Noida Extension,"₹ 2,368/sq.ft.","2,100 sq.ft. (195 sq.m.) Built-up Area",(195 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 45 L₹ 2,368/sq.ft."
483,3 BHK Apartment in Safdarjung,"₹ 13,495/sq.ft.","2,228 sq.ft. (207 sq.m.) Super built-up Area",(207 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 2.75 Cr₹ 13,495/sq.ft."
484,2 BHK Independent Builder Floor in Nangloi,"₹ 4,444/sq.ft.",675 sq.ft. (63 sq.m.) Super built-up Area,(63 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 30 L₹ 4,444/sq.ft."
485,6 BHK Independent Builder Floor in Jasola,"₹ 9,090/sq.ft.","4,400 sq.ft. (409 sq.m.) Carpet Area",(409 sq.m.) Carpet Area,6 BHK7 Baths,"₹ 4 Cr₹ 9,090/sq.ft."
486,3 BHK Independent Builder Floor in Sector 19 Faridabad,"₹ 6,245/sq.ft.","2,322 sq.ft. (216 sq.m.) Carpet Area",(216 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.45 Cr₹ 6,245/sq.ft."
487,11 Bedroom House in Sector 46 Noida,"₹ 25,548/sq.ft.","2,152 sq.ft. (200 sq.m.) Plot Area",(200 sq.m.) Plot Area,11 BHK11 Baths,"₹ 5.5 Cr₹ 25,548/sq.ft."
488,3 BHK Apartment in Sector Omicron 3 Greater Noida,"₹ 4,000/sq.ft.","1,595 sq.ft. (148 sq.m.) Super built-up Area",(148 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 63.8 L₹ 4,000/sq.ft."
489,1 BHK Apartment in Kishangarh Village,"₹ 7,000/sq.ft.",500 sq.ft. (46 sq.m.) Super built-up Area,(46 sq.m.) Super built-up Area,1 BHK1 Bath,"₹ 35 L₹ 7,000/sq.ft."
490,3 BHK Apartment in Sahibabad,"₹ 3,739/sq.ft.","1,150 sq.ft. (107 sq.m.) Built-up Area",(107 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 43 L₹ 3,739/sq.ft."
491,3 BHK Apartment in Patparganj,"₹ 9,592/sq.ft.","1,200 sq.ft. (111 sq.m.) Carpet Area",(111 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 1.15 Cr₹ 9,592/sq.ft."
492,2 BHK Apartment in Pandav Nagar,"₹ 6,944/sq.ft.",720 sq.ft. (67 sq.m.) Carpet Area,(67 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 50 L₹ 6,944/sq.ft."
493,3 BHK Independent Builder Floor in Sushant Lok Phase 1,"₹ 11,250/sq.ft.","2,000 sq.ft. (186 sq.m.) Carpet Area",(186 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 2.25 Cr₹ 11,250/sq.ft."
494,3 BHK Independent Builder Floor in Sector 1 Vasundhara,"₹ 5,994/sq.ft.","2,002 sq.ft. (186 sq.m.) Super built-up Area",(186 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.2 Cr₹ 5,994/sq.ft."
495,3 BHK Independent Builder Floor in Sector 86 Faridabad,"₹ 5,098/sq.ft.","1,530 sq.ft. (142 sq.m.) Super built-up Area",(142 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 78 L₹ 5,098/sq.ft."
496,3 BHK Apartment in Sushant Lok Phase 1,"₹ 21,000/sq.ft.","2,500 sq.ft. (232 sq.m.) Super built-up Area",(232 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 5.25 Cr₹ 21,000/sq.ft."
497,2 BHK Apartment in Maidan Garhi,"₹ 5,176/sq.ft.",850 sq.ft. (79 sq.m.) Super built-up Area,(79 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 44 L₹ 5,176/sq.ft."
498,3 BHK Apartment in Sector 106 Gurgaon,"₹ 11,266/sq.ft.","1,855 sq.ft. (172 sq.m.) Carpet Area",(172 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 2.09 Cr₹ 11,266/sq.ft."
499,1 Bedroom House in Lal Kuan,"₹ 3,240/sq.ft.",540 sq.ft. (50 sq.m.) Plot Area,(50 sq.m.) Plot Area,1 BHK1 Bath,"₹ 17.5 L₹ 3,240/sq.ft."
500,Studio Apartments / 1 RK Flats in Hasanpur,"₹ 6,363/sq.ft.",550 sq.ft. (51 sq.m.) Carpet Area,(51 sq.m.) Carpet Area,1 BHK1 Bath,"₹ 35 L₹ 6,363/sq.ft."
501,3 BHK Apartment in Chattarpur,"₹ 3,272/sq.ft.","1,100 sq.ft. (102 sq.m.) Carpet Area",(102 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 36 L₹ 3,272/sq.ft."
502,3 BHK Apartment in Bhopura,"₹ 3,096/sq.ft.","1,550 sq.ft. (144 sq.m.) Super built-up Area",(144 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 48 L₹ 3,096/sq.ft."
503,2 BHK Independent Builder Floor in Laxman Vihar,"₹ 3,930/sq.ft.",865 sq.ft. (80 sq.m.) Carpet Area,(80 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 34 L₹ 3,930/sq.ft."
504,2 BHK Apartment in Dilshad Garden,"₹ 5,574/sq.ft.",807 sq.ft. (75 sq.m.) Carpet Area,(75 sq.m.) Carpet Area,2 BHK1 Bath,"₹ 45 L₹ 5,574/sq.ft."
505,3 BHK Apartment in Techzone 4 Greater Noida West,"₹ 4,516/sq.ft.","1,395 sq.ft. (130 sq.m.) Super built-up Area",(130 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 63 L₹ 4,516/sq.ft."
506,2 BHK Independent Builder Floor in Kalkaji,"₹ 5,556/sq.ft.",450 sq.ft. (42 sq.m.) Carpet Area,(42 sq.m.) Carpet Area,2 BHK1 Bath,"₹ 25 L₹ 5,556/sq.ft."
507,2 BHK Apartment in Sector 93 A Noida,"₹ 6,723/sq.ft.","1,755 sq.ft. (163 sq.m.) Built-up Area",(163 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 1.18 Cr₹ 6,723/sq.ft."
508,4 BHK Independent Builder Floor in Sushant Lok Phase 1,"₹ 14,242/sq.ft.","3,300 sq.ft. (307 sq.m.) Built-up Area",(307 sq.m.) Built-up Area,4 BHK5 Baths,"₹ 4.7 Cr₹ 14,242/sq.ft."
