,location,price_per_sqft,total_sqft,builtup_area,bhk,price
302,7 Bedroom House in DLF Phase 4,"₹ 25,000/sq.ft.",600 sq.ft. (56 sq.m.) Plot Area,(56 sq.m.) Plot Area,7 BHK7 Baths,"₹ 1.5 Cr₹ 25,000/sq.ft."
303,3 BHK Independent Builder Floor in Kalkaji,"₹ 16,111/sq.ft.","1,800 sq.ft. (167 sq.m.) Carpet Area",(167 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 2.9 Cr₹ 16,111/sq.ft."
304,3 BHK Apartment in Sector 9A Gurgaon,"₹ 4,888/sq.ft.","1,800 sq.ft. (167 sq.m.) Super built-up Area",(167 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 88 L₹ 4,888/sq.ft."
305,3 BHK Independent Builder Floor in Sector 15 Rohini,"₹ 13,548/sq.ft.",516 sq.ft. (48 sq.m.) Carpet Area,(48 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 65 L₹ 13,548/sq.ft."
306,Residential land / Plot in Yamuna Expressway,"₹ 4,858/sq.ft.","1,646 sq.ft. (153 sq.m.) Plot Area",(153 sq.m.) Plot Area,,"₹ 80 L₹ 4,858/sq.ft."
307,4 BHK Independent Builder Floor in Sector 48 Gurgaon,"₹ 8,400/sq.ft.","2,500 sq.ft. (232 sq.m.) Built-up Area",(232 sq.m.) Built-up Area,4 BHK4 Baths,"₹ 2.1 Cr₹ 8,400/sq.ft."
308,Residential land / Plot in Rajiv Nagar,"₹ 8,333/sq.ft.",900 sq.ft. (84 sq.m.) Plot Area,(84 sq.m.) Plot Area,,"₹ 75 L₹ 8,333/sq.ft."
309,2 BHK Independent Builder Floor in Shiv Nagar,"₹ 8,750/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 70 L₹ 8,750/sq.ft."
310,4 Bedroom House in Sector 18 Rohini,"₹ 16,667/sq.ft.","1,800 sq.ft. (167 sq.m.) Plot Area",(167 sq.m.) Plot Area,4 BHK3 Baths,"₹ 3 Cr₹ 16,667/sq.ft."
311,3 BHK Independent Builder Floor in Lajpat Nagar,"₹ 16,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Carpet Area",(111 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.6 Cr₹ 16,000/sq.ft."
312,2 BHK Apartment in Dilshad Garden,"₹ 10,000/sq.ft.",750 sq.ft. (70 sq.m.) Super built-up Area,(70 sq.m.) Super built-up Area,2 BHK1 Bath,"₹ 80 L₹ 10,000/sq.ft."
313,3 BHK Independent Builder Floor in Ganesh Nagar,"₹ 6,818/sq.ft.","1,100 sq.ft. (102 sq.m.) Carpet Area",(102 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 75 L₹ 6,818/sq.ft."
314,3 BHK Apartment in Sahibabad,"₹ 4,437/sq.ft.","1,690 sq.ft. (157 sq.m.) Carpet Area",(157 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 75 L₹ 4,437/sq.ft."
315,2 BHK Apartment in Sector 24 Rohini,"₹ 8,527/sq.ft.",645 sq.ft. (60 sq.m.) Super built-up Area,(60 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 55 L₹ 8,527/sq.ft."
316,4 BHK Independent Builder Floor in South Extension 2,"₹ 32,500/sq.ft.","3,000 sq.ft. (279 sq.m.) Carpet Area",(279 sq.m.) Carpet Area,4 BHK5 Baths,"₹ 9.75 Cr₹ 32,500/sq.ft."
317,3 BHK Apartment in Vasant Kunj,"₹ 22,500/sq.ft.","1,200 sq.ft. (111 sq.m.) Carpet Area",(111 sq.m.) Carpet Area,3 BHK4 Baths,"₹ 2.7 Cr₹ 22,500/sq.ft."
318,2 BHK Independent Builder Floor in Karampura,"₹ 5,625/sq.ft.",960 sq.ft. (89 sq.m.) Super built-up Area,(89 sq.m.) Super built-up Area,2 BHK1 Bath,"₹ 54 L₹ 5,625/sq.ft."
319,1 BHK Apartment in Sector 34 Rohini,"₹ 5,694/sq.ft.",360 sq.ft. (33 sq.m.) Super built-up Area,(33 sq.m.) Super built-up Area,1 BHK2 Baths,"₹ 20.5 L₹ 5,694/sq.ft."
320,7 Bedroom House in Alpha 1 Greater Noida,"₹ 9,159/sq.ft.","3,821 sq.ft. (355 sq.m.) Plot Area",(355 sq.m.) Plot Area,7 BHK9 Baths,"₹ 3.5 Cr₹ 9,159/sq.ft."
321,4 BHK Apartment in Sector 81 Faridabad,"₹ 6,264/sq.ft.","2,155 sq.ft. (200 sq.m.) Carpet Area",(200 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 1.35 Cr₹ 6,264/sq.ft."
322,3 BHK Independent Builder Floor in Sector 5 Rajendra Nagar,"₹ 6,408/sq.ft.","1,420 sq.ft. (132 sq.m.) Super built-up Area",(132 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 91 L₹ 6,408/sq.ft."
323,3 BHK Independent Builder Floor in Om Vihar,"₹ 5,111/sq.ft.","1,000 sq.ft. (93 sq.m.) Built-up Area",(93 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 46 L₹ 5,111/sq.ft."
